Time,ID,Class
2023-11-18 11:06:36,15,2
2023-11-18 11:06:36,14,2
2023-11-18 11:06:36,13,14
2023-11-18 11:06:36,12,2
2023-11-18 11:06:36,11,2
2023-11-18 11:06:36,10,2
2023-11-18 11:06:36,9,0
2023-11-18 11:06:36,8,0
2023-11-18 11:06:36,7,2
2023-11-18 11:06:36,6,0
2023-11-18 11:06:36,5,16
2023-11-18 11:06:36,4,0
2023-11-18 11:06:36,3,0
2023-11-18 11:06:36,2,0
2023-11-18 11:06:36,1,0
2023-11-18 11:06:36,15,2
2023-11-18 11:06:36,14,2
2023-11-18 11:06:36,13,14
2023-11-18 11:06:36,12,2
2023-11-18 11:06:36,11,2
2023-11-18 11:06:36,10,2
2023-11-18 11:06:36,9,0
2023-11-18 11:06:36,8,0
2023-11-18 11:06:36,7,2
2023-11-18 11:06:36,6,0
2023-11-18 11:06:36,5,16
2023-11-18 11:06:36,4,0
2023-11-18 11:06:36,3,0
2023-11-18 11:06:36,2,0
2023-11-18 11:06:36,1,0
2023-11-18 11:06:37,15,2
2023-11-18 11:06:37,13,14
2023-11-18 11:06:37,12,2
2023-11-18 11:06:37,11,2
2023-11-18 11:06:37,10,2
2023-11-18 11:06:37,9,0
2023-11-18 11:06:37,8,0
2023-11-18 11:06:37,7,2
2023-11-18 11:06:37,6,0
2023-11-18 11:06:37,5,16
2023-11-18 11:06:37,4,0
2023-11-18 11:06:37,3,0
2023-11-18 11:06:37,2,0
2023-11-18 11:06:37,1,0
2023-11-18 11:06:37,13,14
2023-11-18 11:06:37,12,2
2023-11-18 11:06:37,11,2
2023-11-18 11:06:37,10,2
2023-11-18 11:06:37,9,0
2023-11-18 11:06:37,8,0
2023-11-18 11:06:37,7,2
2023-11-18 11:06:37,6,0
2023-11-18 11:06:37,5,16
2023-11-18 11:06:37,4,0
2023-11-18 11:06:37,3,0
2023-11-18 11:06:37,2,0
2023-11-18 11:06:37,1,0
2023-11-18 11:06:37,13,14
2023-11-18 11:06:37,12,2
2023-11-18 11:06:37,11,2
